# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van uurwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde dagreeksen <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# SOURCE: ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE (KNMI)
# Comment: These time series are inhomogeneous because of station relocations and changes in observation techniques. As a result these series are not suitable for trend analysis. For climate change studies we refer to the homogenized series of daily data <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> or the Central Netherlands Temperature <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# STN         LON(east)   LAT(north)  ALT(m)      NAME
# 260         5.180       52.100      1.90        De Bilt     
# FG        : Etmaalgemiddelde windsnelheid (in 0.1 m/s) / Daily mean windspeed (in 0.1 m/s)
# FHX       : Hoogste uurgemiddelde windsnelheid (in 0.1 m/s) / Maximum hourly mean windspeed (in 0.1 m/s)
# SQ        : Zonneschijnduur (in 0.1 uur) berekend uit de globale straling (-1 voor <0.05 uur) / Sunshine duration (in 0.1 hour) calculated from global radiation (-1 for <0.05 hour)
# Q         : Globale straling (in J/cm2) / Global radiation (in J/cm2)
# STN,YYYYMMDD,   FG,  FHX,   SQ,    Q
  260,20250101,   81,  110,    0,   38
  260,20250102,   20,   30,   48,  328
  260,20250103,   31,   50,   13,  156
  260,20250104,   25,   30,   10,  157
  260,20250105,   56,   70,    0,   45
  260,20250106,   77,  110,    2,   87
  260,20250107,   53,   70,   31,  268
  260,20250108,   28,   50,   42,  292
  260,20250109,   24,   40,   36,  305
  260,20250110,   27,   50,   60,  430
  260,20250111,   15,   30,   65,  486
  260,20250112,   12,   20,   18,  254
  260,20250113,   22,   40,   62,  511
  260,20250114,   31,   50,   19,  287
  260,20250115,   12,   20,    0,  135
  260,20250116,   27,   40,    0,   91
  260,20250117,   19,   30,    0,  126
  260,20250118,   20,   30,    0,  155
  260,20250119,   15,   20,    0,   83
  260,20250120,   24,   30,    0,   78
  260,20250121,   30,   40,    0,  129
  260,20250122,   24,   30,    0,  146
  260,20250123,   45,   60,   22,  254
  260,20250124,   55,   80,    0,   88
  260,20250125,   19,   40,   11,  186
  260,20250126,   41,   80,   54,  526
  260,20250127,   60,   80,   68,  555
  260,20250128,   53,   70,    0,  182
  260,20250129,   41,   70,    8,  183
  260,20250130,   17,   30,    9,  223
  260,20250131,   19,   30,   37,  434
  260,20250201,   16,   30,   81,  756
  260,20250202,   18,   30,   81,  791
  260,20250203,   19,   30,   81,  793
  260,20250204,   37,   60,    7,  207
  260,20250205,   26,   40,   25,  384
  260,20250206,   28,   50,   37,  458
  260,20250207,   67,   90,    3,  243
  260,20250208,   36,   60,   23,  308
  260,20250209,   28,   50,   19,  379
  260,20250210,   56,   70,    8,  250
  260,20250211,   43,   70,    0,   82
  260,20250212,   17,   30,    4,  268
  260,20250213,   31,   50,   30,  509
  260,20250214,   14,   30,   34,  513
  260,20250215,   19,   30,    5,  371
  260,20250216,   43,   80,   90,  984
  260,20250217,   27,   40,   90, 1013
  260,20250218,   44,   60,   88, 1009
  260,20250219,   52,   70,   82,  767
  260,20250220,   39,   50,   10,  395
  260,20250221,   40,   60,   47,  755
  260,20250222,   37,   50,    0,  249
  260,20250223,   44,   60,   64,  910
  260,20250224,   54,   70,    3,  194
