,model,date,training_length,test_length,mae,msae,rho
0,xgboost,0,2880,96,9.574805231094365,134.87931417154337,0.9031404755225848
1,elastic_net,0,2880,96,20.718515072630264,552.9333090017525,0.6364237534754226
2,naive_model,0,2880,96,7.865468749999998,96.12599765624998,0.9157216494845362
3,xgboost,0,2880,192,8.975772523880005,118.33793435776508,0.9151332657927644
4,elastic_net,0,2880,192,17.60301944783577,421.69984633443136,0.5249624440627059
5,naive_model,0,2880,192,8.459609374999998,102.10740091145831,0.8727823291647452
6,xgboost,0,2880,384,13.051239672501884,311.02739185231604,0.8284385981527613
7,elastic_net,0,2880,384,20.07544861309004,520.4888498017125,0.5936234025795196
8,naive_model,0,2880,384,10.064296874999998,289.4843044270833,0.8682470964515496
9,xgboost,0,2880,960,15.125032778422035,405.8895118755418,0.6969030975887538
10,elastic_net,0,2880,960,21.745740226946047,784.9976386280609,0.6509886069193257
11,naive_model,0,2880,960,17.74985416666667,565.9438292447917,0.6284665061545959
12,xgboost,0,2880,2880,16.705487865236073,498.8469774127914,0.7844910112981559
13,elastic_net,0,2880,2880,23.6370950604502,1007.4512387882718,0.7287790422917972
14,naive_model,0,2880,2880,21.279798611111108,843.162838342014,0.7113573673375211
15,xgboost,0,5760,96,35.188091862996416,2342.402375534136,0.8243855681151182
16,elastic_net,0,5760,96,27.47796919520683,874.2371923793629,0.6919424850786761
17,naive_model,0,5760,96,29.044843749999995,1549.4628032552082,0.8341833966359198
18,xgboost,0,5760,192,33.35180052598317,2293.2754622386333,0.689551127470568
19,elastic_net,0,5760,192,20.341641660088705,546.801990211548,0.6669831538398938
20,naive_model,0,5760,192,25.501927083333328,1146.2283042317708,0.6295404606244746
21,xgboost,0,5760,384,34.839327351252244,2457.553788255768,0.6982100938325204
22,elastic_net,0,5760,384,17.37613469902743,398.3250213601227,0.7073969059170878
23,naive_model,0,5760,384,21.285013020833333,866.9153876953125,0.7650361302003292
24,xgboost,0,5760,960,27.798926355679832,1514.727822265428,0.766590342871082
25,elastic_net,0,5760,960,17.52197453821219,434.1829809071222,0.7780997265811541
26,naive_model,0,5760,960,19.943609375,766.5395796484374,0.7696208007733136
27,xgboost,0,5760,2880,27.11410355753369,1374.4220694041087,0.8123101820516069
28,elastic_net,0,5760,2880,21.595964254765477,792.40998724323,0.8029994515402779
29,naive_model,0,5760,2880,24.20497048611111,1326.0474878125,0.7145289275620171
30,xgboost,0,8640,96,27.50595780849457,1433.8764083445658,0.8959576236057013
31,elastic_net,0,8640,96,11.838985726523958,186.22663444319892,0.8983820482351178
32,naive_model,0,8640,96,22.98578125,600.6108514322917,0.8533948334085583
33,xgboost,0,8640,192,35.46956483443578,2289.012683971115,0.845465824566741
34,elastic_net,0,8640,192,13.26299939815904,249.16820342699307,0.8862907499081951
35,naive_model,0,8640,192,26.083697916666665,864.0172645833333,0.8925451089859665
36,xgboost,0,8640,384,28.17288040896257,1542.2051340988855,0.8639246885394661
37,elastic_net,0,8640,384,15.314729219071417,341.6694498946891,0.8523176942346882
38,naive_model,0,8640,384,23.603346354166664,785.2471407226562,0.8434968927377523
39,xgboost,0,8640,960,26.08069467687607,1350.3517857340755,0.8822240122726609
40,elastic_net,0,8640,960,17.075258424917635,423.54312697066206,0.8310293421177642
41,naive_model,0,8640,960,23.57059895833333,1061.9127149869792,0.803857140269443
42,xgboost,0,8640,2880,24.13400174310472,1150.5253580373922,0.8536408985220516
43,elastic_net,0,8640,2880,19.596187967629547,692.8482100458405,0.811904271550895
44,naive_model,0,8640,2880,23.119791666666668,1148.1688167100694,0.7806014582465214
45,xgboost,0,17280,96,34.26694333434105,2610.352482017689,0.8968121871857391
46,elastic_net,0,17280,96,20.05893180611363,677.2718292344942,0.8749080131222755
47,naive_model,0,17280,96,47.70463541666667,3850.993836588541,0.8519290963461098
48,xgboost,0,17280,192,49.29784881846359,7295.836533902947,0.9251610112424792
49,elastic_net,0,17280,192,16.697597568558905,452.2725335080731,0.8322694979847995
50,naive_model,0,17280,192,45.70973958333334,4954.982210416668,0.8929306989699556
51,xgboost,0,17280,384,34.78132082212096,4216.144703464423,0.9062985834623168
52,elastic_net,0,17280,384,15.247886598805424,382.5609901805117,0.8089429194999609
53,naive_model,0,17280,384,39.29962239583333,4346.816681054688,0.8214668303112693
54,xgboost,0,17280,960,24.57220482885837,2057.3234832565927,0.8526974330702329
55,elastic_net,0,17280,960,15.057261271139453,371.1062518891964,0.8298822291971308
56,naive_model,0,17280,960,29.615614583333336,2323.0705447526047,0.7369514654474673
57,xgboost,0,17280,2880,15.925915914999113,866.2090304064794,0.8780260630964775
58,elastic_net,0,17280,2880,15.562300031422692,422.91571997650414,0.8083616469696479
59,naive_model,0,17280,2880,19.20446354166667,1108.1840791319446,0.809546395402761
60,xgboost,1,2880,96,6.642467832565309,61.45508307715264,0.9170338388229208
61,elastic_net,1,2880,96,14.198702421271255,283.7215939024599,0.2386729166780393
62,naive_model,1,2880,96,9.05375,108.08880416666666,0.8762886597938144
63,xgboost,1,2880,192,9.299186005592349,128.0798233983594,0.9000988114110612
64,elastic_net,1,2880,192,19.36847933232985,499.6778908558267,0.2158335172495145
65,naive_model,1,2880,192,7.320598958333332,76.70444127604166,0.9031056743093152
66,xgboost,1,2880,384,13.962392508983612,380.13381110927634,0.7119943471809457
67,elastic_net,1,2880,384,18.025905184342587,438.2058731773244,0.7230255477170562
68,naive_model,1,2880,384,12.963789062499998,445.7856825520834,0.7965148462729503
69,xgboost,1,2880,960,16.032068300565083,436.8266826136126,0.6856269064989128
70,elastic_net,1,2880,960,20.22708065950257,715.1258867012858,0.6653340203148917
